ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
37-70,23/03/23 21:26:38,https://twitter.com/mariepe53879894/status/1550388015565983744,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, gawa gawa, scripted",@mariepe53879894,@marieperez,,Anonymous ,01/20,150,323,N/A,Haha patawa ..yang edsa gawa gawa lng yan kunwari lang kunbaga scripted... mga sinungaling,,"Text, Reply","Jul 22, 2022",,Emotional,0,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-71,23/03/23 21:27:35,https://twitter.com/Jack13368949/status/1543387644129787904,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, gawa gawa",@Jack13368949,Jack,,Anonymous ,06/22,35,5,N/A,Tama si mis ella ang kasaysayan ng EDSA gawa gawa lang at hakaka,,"Text, Reply","Jul 3, 2022",,"Rational, Emotional",0,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-72,23/03/23 21:36:57,https://twitter.com/Lan0601/status/1523721662096494592,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake revolution",@Lan0601,Reelando Lorica 🇵🇭,"Youtuber/
Moviegoer/
DC Fan/
Anime Fan/
Uniteam Supporter/
Ravenclaw/
Horned Serpent",Anonymous ,06/15,169,48,Philippines,"They actually did learn a lot especially from the mistakes of Edsa fake revolution. That's why he's leading right now.

{Alt-text image: Image comparing the supposed works of Marcoses and the Aquinos, including Leni}",,"Text, Reply, Image","May 10, 2022",,Emotional,2,0,1,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-73,23/03/23 21:37:18,https://twitter.com/getrichpinoy/status/1523721239700770817,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake revolution",@getrichpinoy,Get Rich Pinoy!,Philippine Stock Market  - Economics - Tech StartUp Advisor - Free Spirit,Anonymous ,10/09,216,1 498,"Dubai, United Arab Emirates",EDSA FAKE People Power 🤣😅🤣 Fake Revolution 🤣🤣🤣🤣 #NEVERAGAIN!!! 27 MILLION LAUGH HAHAHAHA!!,,"Text, Reply","May 10, 2022",,Emotional,1,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-74,23/03/23 21:37:46,https://twitter.com/getrichpinoy/status/1523690857882259457,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake revolution",@getrichpinoy,Get Rich Pinoy!,Philippine Stock Market  - Economics - Tech StartUp Advisor - Free Spirit,Anonymous ,10/09,216,2 498,"Dubai, United Arab Emirates","President 
@bongbongmarcos
 🇵🇭💯✌️🤩 Salamat Pilipinas at Nagising na ang taong Bayan Marcos Parin!! 🇵🇭💯🤩💪HAHAHA!! #Explain2016 ✌️

EDSA Fake Revolution 1986 NAKAKAHIYA KAYO Mas matalino at Makabayan si Robin Padilla kesa kay Chel Inidor ang bagsak 😅🤣🤣 https://youtu.be/L6eeUcVB5Qc

{Alt-text image: Picture of Bongbong Marcos during his campaign for presidency}",,"Text, Image","May 9, 2022",,Emotional,1,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-75,23/03/23 21:37:58,https://twitter.com/attyndbcpa/status/1472442831604051974,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake revolution",@attyndbcpa,Crisostomo Ivana,,Anonymous ,09/21,293,246,N/A,Panalo si Marcos sa Election vs Cory di lang matanggap ng Dilawan kaya nag Edsa Fake revolution sila,,"Text, Reply","Dec 19, 2021",,Rational,1,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-76,23/03/23 21:38:25,https://twitter.com/Mallari1Ruben/status/1469544561471275010,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake revolution",@Mallari1Ruben,Ruben Mallari,,Anonymous ,10/21,26,1,Philippines,Lahat na gagawin kay BBM ng mga NANLOKO SA PILIPINO SA LOOB NG 30 taon na mga PRO AQUINO pagkatapos ng EDSA FAKE REVOLUTION.,,Text,"Dec 11, 2021",,Emotional,0,0,0,0,,MISLEADING,Blaming the Aquinos for the actions of other presidents elected by the mass is misleading the audience.,,,,,,
37-77,23/03/23 21:38:34,https://twitter.com/ZeroToTen4/status/1448070284012097538,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake revolution",@ZeroToTen4,Zero To Ten,The bitter truth is better than the sweetest lie... Griffin The Arkadian..MIB 3,Anonymous ,05/20,798,528,N/A,Letseng Aquino at EDSA fake revolution sinira kinabukasan ng bayan at mamamayan.,,"Text, Reply","Oct 13, 2021",,Emotional,7,0,5,1,,MISLEADING,Blaming the Aquinos for the actions of other presidents elected by the mass is misleading the audience.,,,,,,
37-78,23/03/23 21:38:37,https://twitter.com/blackkn05858615/status/1365280160359067652,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake, people power",@blackkn05858615,black knights,"Because I belong to the Special Forces and the oldest fraternity in the world AF & AM A proud DDS who loves my country of origin, the Philippines 🇵🇭",Anonymous ,02/20,930,895,N/A,"The EDSA (fake) PEOPLE POWER was the start of the division of Filipinos and the country. It was started by the fake heroes AQUINO.

{Alt-text image: Image of Nancy Binay with a statement about commemoration of EDSA revolution}",,"Text, Image",2/26/2021,,Rational,5,1,1,1,,MISLEADING,Blaming the EDSA people power revolution for the division of Filipinos is misleading.,,,,,,
37-79,23/03/23 21:38:52,https://twitter.com/blackkn05858615/status/1365264099307900930,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake, people power",@blackkn05858615,black knights,"Because I belong to the Special Forces and the oldest fraternity in the world AF & AM A proud DDS who loves my country of origin, the Philippines 🇵🇭",Anonymous ,02/20,930,895,N/A,"Walang nangyaring pagbabago sa loob ng 35 years, bagkus mas dumami ang mga mapagsamntala, oligarkong mapang abuso, CPP NPA NDF ay mas lumaganap, droga mas naging talamak at kurapsyon ng mga polotiko ay naging normal. Yan ang dulot ng EDSA (FAKE) PEOPLE POWER.",,"Text, Reply","Feb 26, 2021",,Rational,4,1,0,0,,MISLEADING,Blaming the EDSA people power revolution for these things is misleading.,,,,,,
37-80,23/03/23 21:38:59,https://twitter.com/blackkn05858615/status/1365118540957761538,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake, people power",@blackkn05858615,black knights,"Because I belong to the Special Forces and the oldest fraternity in the world AF & AM A proud DDS who loves my country of origin, the Philippines 🇵🇭",Anonymous ,02/20,930,895,N/A,"There are more human rights violation in the regime of Aquinos Cory and Abnoy PNoy. These human rights violations are the products of EDSA (fake) Revolution, that deceived and cheated the people of Metro Manila and not the whole Filipino people. Take rest FAKE PEOPLE POWER of LP

{Alt-text image: Image of Kiko Pangilinan with a statement about commemoration of EDSA revolution}",,"Text, Image","Feb 26, 2021",,Rational,4,1,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-81,23/03/23 21:39:24,https://twitter.com/MamTessCD/status/1334855005031997441,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake",@MamTessCD,Teresita Curato-Dapoc,,Identified,12/17,1 802,1 082,Philippines,"Ewan ko ba kung bakit may mga taong Ang Pangit Na Ng Mukha ay Grabeng Pangit Din ng Ugali, Pangangatwiran, Ideolohiya sa buhay, Marami nyan sa HindiMakaMove on sa MgaMarcos, hindi matanggap na BinasuraNgTaumbayan Edsa Fake Rev at DilawangLiberal",,"Text, Reply","Dec 4, 2020",,Emotional,0,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-82,23/03/23 21:43:50,https://twitter.com/RyanRZambrano/status/1304248114065346563,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake, people power, Aquino",@RyanRZambrano,A L C H E M i S T ®,¯\_(ツ)_/¯,Anonymous,07/18,247,2 004,Qatar,"If we could go back- I would rather have a ""dictator"" than be SCAMMED again by the Aquinos through EDSA FAKE People Power. Never again. Magnanakaw at diktador daw si Marcos pero after EDSA pinalitan lang ng mas maraming magnanakaw at isang diktador na mahilig mag-mahjong. 🙄",,Text,"Sep 11, 2020",,Emotional,13,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-83,23/03/23 21:44:05,https://twitter.com/YolandaQueens/status/1296655724232110080,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake",@YolandaQueens,Y O L A N D A,,Anonymous,03/18,776,45,N/A,"Media can't Fool Filipino now about Ninoy Heroism.. Gising na ang mga Pinoy Kung ano talaga ang totoo sa Assassination nun..

Don't fool us again. That fake EDSA, fake democracy and fake hero.

#NinoyIsNotAHero #NinoyIsATraitor #fakeDemocracy #FounderOfCPPNPA",,Text,"Aug 21, 2020",,Emotional,0,0,0,0,,FALSE,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship.",,,,,,
37-84,23/03/23 21:44:51,https://twitter.com/marredroyalty/status/1289679790895636480,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake, people power, binayaran",@marredroyalty,Marjhon Havana,"🇵🇭 Filipino Scientists, Filipino Inventors

(rare)",Anonymous ,06/18,2 476,2 172,N/A,"Hindi sa taong bayan, abg sumama sa EDSA fake people power ay mga taong binayaran at pinilit ng mga dilawan. Hindi mka Dios si Cory mka Oligarchiya cya ng US at Spain. ( CIA at Roman Catholic)",,"Text, Reply","Aug 2, 2020",,Rational,8,1,2,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-85,23/03/23 21:45:07,https://twitter.com/marredroyalty/status/1289679767415844864,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake, people power",@marredroyalty,Marjhon Havana,"🇵🇭 Filipino Scientists, Filipino Inventors

(rare)",Anonymous ,06/18,2 476,2 172,N/A,Sa taong bayan kumuha ng lakas si Cory? sure ka? eh bakit 2% lang sumama sa EDSA  fake people power nasa na ang 97% percent? Ulol ka kiko bka ang ibig mo sabihin sa mga oligarchs kumukuha ng lakas si Santa Cory.,,"Text, Quote Tweet","Aug 2, 2020",,Emotional,12,2,3,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-86,23/03/23 21:47:19,https://twitter.com/ljhaylajo/status/1281193228729868293,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake, democracy",@ljhaylajo,Jayjay,Simple Brilliant,Anonymous,03/15,68,6,National Capital Region,"I will pray for this NETWORK WILL BE DOWN FOREVER. !!!

THIS IS THE CAUSE OF DIVIDING THE FILIPINO SINCE EDSA EDSA FAKE DEMOCRACY AND FAKE HERO NINOY AQUINO.

SILA ANG NG KUNSINTE SA MGA REBELDE UPANG DUMAMI. BAKA SILA DIN ANG SOURCE NG MGA REBELDE KAYA HINDI MASUGPO SUGPO.",,"Text, Reply","Jul 9, 2020",,Emotional,0,0,0,0,,FALSE,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship.",,,,,,
37-87,23/03/23 21:47:43,https://twitter.com/Tam85089306/status/1106026462845374466,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake, Aquino",@Tam85089306,Tam tim,Patriot,Anonymous,01/19,41,1,Philippines,"Kung walang ang EDSA fake revolution at wala ang mga Aquino ay hindi sana magka crisis sa tubig ngayon. Dahil sa mga Lopez aquino crony ay problema sa tubig na ang maynila  
@gmanews
 
@ABSCBNNews",,"Text, Reply","Mar 14, 2019",,Rational,0,0,0,0,,NEED CONTEXT,The foundations for the sale and disposition of government assets was laid down by Marcos during his latter term to manage the growing debt of the Philippines. It was then implemented through the Philippine privatization program with the same goal.,,,,,,
37-88,23/03/23 22:03:04,https://twitter.com/JizmundoRally/status/1574902034889056256,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, peke",@JizmundoRally,PuyraBuyag,"Chief designer @ AyButiki Apparel.

Basta para sa bansa at lahi ko..sali ako. Taglay ko ang Kaisipang Pilipino",Anonymous,08/21,53,17,"Hongkong, Philippines","Iba iba ang kahulugan ng kalayaan.. pag hindi tunay at kuha sa daya at nakaw ito'y panandalian lamang... 
Gaya ng Edsa noong 1986, peke!",,"Text, Reply","Sep 28, 2022",,"Rational, Emotional",2,1,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-89,23/03/23 22:04:25,https://twitter.com/naspi_Up/status/1550054666033037313,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, peke",@naspi_Up,~ !nv!ctuS ~,"Master of my Fate , Captain of my Soul",Anonymous,03/13,599,187,"Leon, Spain","Sge Direk Joel karapatan nyo nman yn bilang isang matagal ng anti marcos! Kaso di na kami mabubudol haha. Itong gawang film ni Direk D Yap! Ay isang bahagi nman ng kwento base sa aming naniniwalang peke ang edsa revo. sa pangunguna ng dilawan in cahoots of media, oligarchs at cia",,"Text, Reply","Jul 21, 2022",,Emotional,27,0,3,1,,UNPROVEN,There is no solid evidence that the people power revolution was organized by an international organization.,,,,,,
37-90,23/03/23 22:08:09,https://twitter.com/AdrianL24530427/status/1496573704855339010,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, peke",@AdrianL24530427,Adrian L,Cordial,Anonymous,07/20,399,217,N/A,Ang martial law ay para sa mga NPA at Komunista na gustong pabagsakin ang Gobyerno at gawing Communist country ang ating bansa kasabwat ang mga Dilaw. Peke ang Edsa Uno.,,"Text, Reply","Feb 24, 2022",,Rational,0,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-91,23/03/23 22:08:45,https://twitter.com/jenavegar/status/1524351417737261056,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, peke",@jenavegar,superj,Tagabantay ni Apo BBM,Anonymous,06/14,505,297,N/A,Dios ang makakalaban ninyo  hindi nanaig ang mga    salot sa bansa katulad ninyo. kaya tama lang na mawala  pinkina mo na sleeping with the enemy kayo ay dapat i flush din kasama ang mga idolo ninyo sa imbornal nang tae...bitter ang Edsa ay peke tulad inaypink mo.,,"Text, Reply","May 11, 2022",,Emotional,0,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-92,23/03/23 22:08:52,https://twitter.com/coffeecupsszzzz/status/1523944910898229250,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, peke, people power",@coffeecupsszzzz,CoffeeCup,,Anonymous,09/14,431,396,N/A,Uy wow. Kaya kayo natatalo e. Feeling nyo kayo n ang pinaka matatalino ano? Hahaha.. Buti nga s inyo talo kayo! 😂😂😂😂 Sino ang nagpapatay kay ninoy? Sagutin nyo nga yan? Yan nga di napatunyan ng ina at anak nya e kasi nga lalabas n peke lng ang edsa people power pag sinabi nla,,"Text, Reply","May 10, 2022",,Emotional,0,1,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-93,30/03/23 13:32:17,https://twitter.com/coffeecupsszzzz/status/1523943002871574528,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, scam",@coffeecupsszzzz,CoffeeCup,,Anonymous,09/14,431,396,N/A,Yung edsa people power po nuon ay isa lang malakeng scam.isang malaking panloloko s mga tao. Ang martial law victim n sinasabi nyo ay mga komunistang nanggugulo s bansa. Nabuking n ang panloloko kaya wala ng bisa ang edsang yan.,,"Text, Reply","May 10, 2022",,"Rational, Emotional",2,3,1,0,,FALSE,"There are thousands of victims killed during martial law that were not communists but were teachers, students, children, and other people that were arrested without proof.",,,,,,
37-94,22/03/23 13:03:47,https://twitter.com/WinwinEklabu/status/1497057660616994817,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6460,7121,Metro Manila,From the many people in 1986 to the few who attended the fake Edsa revolution. People are awakened now and remorseful because they realize that Edsa 1 has deceived them and caused more severe poverty in the Philippines. Only fools attending their celebration #EDSA36 anniversary .,,Text,25/02/22 11:55,,Emotional,58,3,21,5,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-95,30/03/23 13:42:58,https://twitter.com/RalphLagrazon/status/1547084585623638016,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, poverty",@RalphLagrazon,Ralph Christian Lagrazon,Business Tycoon,Identified,05/21,176,11,"Sariaya, Rehiyon ng CALABARZON","It's time for the truth to come out!

The 1986 Edsa People Power was the reason why the Philippines fell into poverty because the incumbent president Cory Aquino had all government owned properties privatized because Cory Aquino gave them to the private sectors.",,Text,13/07/22 13:04,,Rational,0,0,0,0,,,It was not only after the EDSA revolution did the Filipino people experienced poverty. Incidence of poverty was already present during the Adminsitration of President Marcos.,,,,,,
37-96,30/03/23 13:43:20,https://twitter.com/JCal_08/status/1494472594078121985,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, poverty",@JCal_08,🐧Doh|🌐,"Dandanie

Telegram: 
@JCali_08",Anonymous,02/21,81,152,N/A,"After EDSA, what happened to the Philippines is a pure stuff of nightmare. The oligarchs hold strong, poverty grow and mismanagement of the government fund is rampant. Cory promised a new Philippines, but it was a bluff for the gullible.",,Text,18/02/22 8:43,,"Rational, Emotional",7,6,3,3,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-97,30/03/23 13:48:02,https://twitter.com/digsan13/status/1305059912704307200,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, poverty",@digsan13,Digsan,The measure of intelligence is the ability to change. May the Force be with you!,Anonymous,09/11,583,779,N/A,"After 1986 Edsa revolution the Philippines sink to poverty.
That's a Fact, people are being deceived. Now you can't blame people why they hate the Liberals and their allies.☝️👊😂",,Text,13/09/20 16:25,,"Rational, Emotional",1,0,0,0,,,It was not only after the EDSA revolution did the Filipino people experienced poverty. Incidence of poverty was already present during the Adminsitration of President Marcos.,,,,,,
37-98,30/03/23 13:52:14,https://twitter.com/XAm_ID/status/1298609219118092290,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, poverty",@XAm_ID,Samuel V. Ragay,"CEO, Computer Engineer by profession (CCIE). Openionated, Techical Evangelist. IT Security Expert. USC-LAW",Identified,06/09,145,54,N/A,And LP shoul let go of EDSA narative because EDSA was just a failed experiment after 30 years nothing happen to Philippines and poverty getting out of hand. Dati walang squatters meron mga housing projects for the poor.,,"Text, quote tweet",26/08/20 21:12,,Emotional,0,0,0,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-99,30/03/23 13:55:23,https://twitter.com/EmperorEugene/status/1210428781829054464,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, poverty",@EmperorEugene,Eugene Navarra,"PH endured more poverty, rampant criminality, weaker institutions in 30 years after EDSA revolution. THE YELLOW MAFIA RUINED PHILIPPINES. #NevertoLPagain",Anonymous,11/12,86,65,"Parañaque City, Philippines","After edsa revolution, Philippines become among the WORST in the world in:

*Water and electric supply
*Internet connectivity (most expensive but the SLOWEST) 
*Education (Lowest in PISA) 
*Public Infrastructure 
*Poverty levels (widest gap between rich and poor)",,Text,27/12/19 13:14,,Rational,3,1,0,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-100,30/03/23 14:01:02,https://twitter.com/EmperorEugene/status/1181798953752223745,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, poverty",@EmperorEugene,Eugene Navarra,"PH endured more poverty, rampant criminality, weaker institutions in 30 years after EDSA revolution. THE YELLOW MAFIA RUINED PHILIPPINES. #NevertoLPagain",Anonymous,11/12,86,65,"Parañaque City, Philippines","Fellow Filipinos, please be reminded that PH endured more poverty, rampant criminality, weaker institutions and cultural degradation in 30 years after EDSA revolution. THE YELLOW MAFIA RUINED PHILIPPINES.",,Text,10/09/19 13:10,,"Emotional, Rational",45,1,13,1,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",1 bookmark,,,,,
37-101,30/03/23 16:23:10,https://twitter.com/mikeellis_usa/status/1523905315132960769,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, poverty",@mikeellis_usa,Mike Ellis,Building a better future one day at a time.,Anonymous,01/15,22,2,Moscow,What's disgusting is that people believe the Edsa revolution was actually to support the people. In reality it was to return power to the oligarchs and keep Filipinos in poverty.,,"Text, Repy",10/05/22 13:58,,Emotional,0,0,0,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-102,30/03/23 16:33:36,https://twitter.com/carloleelagunay/status/1157262554231480320,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,EDSA revoulution poverty,@carloleelagunay,carlo lee lagunay,Architect at Work,Identified,02/12,113,79,Davao City,Kiko is wrong. Edsa revolution is the start of the filipino's struggle and the sinking of our economy. Thank God for #duterte.,,"Text, Repy",08/02/19 20:11,,"Emotional, Rational",1,0,0,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-103,30/03/23 16:39:58,https://twitter.com/lstjfoexyyvzlg5/status/1045528300846600192,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,EDSA revolution economy,@lstjfoexyyvzlg5,.,N/A,Anonymous,05/18,29,3,N/A,Philippine   economy  has  been  downgraded   since   1986   Edsa  Revolution.  Investors  fell   overseas .   Marcos  must  have  stayed   and  Philippines   must  have  been    tne  richest   country.  Corrupt  presidenrs  after  Marcos  is   a   big  blow.,,"Text, Repy",28/09/18 12:19,,Rational,1,0,1,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thread,,,,,
37-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-113,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
37-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
